Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Fibers: Cy5 Length µm	Fibers: DsRed Length µm	Fibers: EGFP Length µm	Num Detections	Num Fibers: Cy5	Num Fibers: DsRed	Num Fibers: EGFP	Area µm^2	Perimeter µm
mouse1_050.ome.tiff	8cff0311-75d4-46bc-af83-9c34605fb19c	Annotation	icp	Right: icp	cbp	Polygon	7444.4	5061.8	1123.0	752.0	0.0	10.9957	11.5389	0.0	0	0	0	0	30185.7	925.94
mouse1_050.ome.tiff	3f68f1ee-74d1-4f90-b351-90c48f276cb3	Annotation	MY-sat	Right: MY-sat	MY	Geometry	5560.7	5144.7	379.0	354.0	0.0	2.0965	0.0	0.0	3	2	1	0	20639.9	1268.8
mouse1_050.ome.tiff	5bce76ae-8d0d-4dd5-8ba0-19d1f53a2b5d	Annotation	sptV	Left: sptV	sV	Geometry	3443.9	4415.7	794.0	229.0	0.0	10.2558	0.0	9.3484	2	2	0	0	165932.9	4855.5
mouse1_050.ome.tiff	79d050a5-38e1-4670-ad8f-c85c592706a0	Annotation	AMBv	Right: AMBv	AMB	Polygon	6774.7	4908.3	143.0	135.0	0.0	522.0594	397.6507	0.0	6	5	1	0	8205.2	336.95
mouse1_050.ome.tiff	679022fa-9d03-4765-bf52-0a2c07b6cffc	Annotation	grey	Right: grey	root	Geometry	6615.9	3986.5	8.0	997.0	0.0	5.8359	0.0	0.0	2867	2595	240	32	5823192.0	26532.6
mouse1_050.ome.tiff	121d9eae-bfea-4498-83d2-7edbfc512d8a	Annotation	BS	Left: BS	grey	Geometry	4452.0	4596.7	343.0	8.0	0.0	198.4846	574.6225	25.7609	11988	3361	8020	607	3850206.1	16651.1
mouse1_050.ome.tiff	97fd3b3d-0036-4a6c-9a31-920e2f30308a	Annotation	Pa5	Left: Pa5	MY-sen	Polygon	3748.1	3818.0	589508451.0	386.0	0.0	1.0952	0.0	0.0	0	0	0	0	21930.9	722.42
mouse1_050.ome.tiff	cab8d612-ddac-4ddc-9770-1d74700b01aa	Annotation	SPVC	Left: SPVC	MY-sen	Polygon	3778.5	4353.1	429.0	386.0	0.0	40.8124	48.4991	0.0	315	9	290	16	803185.3	3689.4
mouse1_050.ome.tiff	25d81248-65b9-40a1-993b-c91cfcb4c34e	Annotation	eps	Right: eps	fiber tracts	Geometry	6144.2	4968.4	1000.0	1009.0	0.0	0.0	0.0	0.0	16	11	5	0	63065.6	1685.5
mouse1_050.ome.tiff	5f756534-204e-40e0-ad55-0390ffcd9c93	Annotation	cm	Right: cm	fiber tracts	Geometry	7563.4	4222.7	967.0	1009.0	0.0	8.3472	61.4523	0.0	0	0	0	0	165856.3	4933.5
mouse1_050.ome.tiff	6dc3b93d-c376-40e3-a168-5e839536dfbf	Annotation	AMBv	Left: AMBv	AMB	Polygon	4349.6	5091.5	143.0	135.0	0.0	2814.1176	308.9914	91.2161	15	11	4	0	6816.1	308.88
mouse1_050.ome.tiff	20105aad-3edf-4fed-9ebc-cddd9c77d411	Annotation	MY-mot	Left: MY-mot	MY	Geometry	4648.5	4745.6	370.0	354.0	0.0	10.1229	0.0	6.0627	8445	2182	5760	503	1651556.6	9931.1
mouse1_050.ome.tiff	9274a81d-ed5b-44dd-92ae-f00f860ddd0e	Annotation	AMB	Right: AMB	MY-mot	Polygon	6774.7	4908.3	135.0	370.0	0.0	5250.2832	20014.6627	1442.206	6	5	1	0	8205.2	336.95
mouse1_050.ome.tiff	84e8b706-0d75-495e-b8e8-917ebd17c220	Annotation	arb	Left: arb	cbf	Polygon	4857.0	3291.4	728.0	960.0	0.0	0.0	4.6078	0.0	0	0	0	0	66448.4	2449.4
mouse1_050.ome.tiff	3f2d791d-a8a4-4e5d-b24f-89827bbc3754	Annotation	Pa5	Right: Pa5	MY-sen	Polygon	7165.0	3755.3	589508451.0	386.0	0.0	0.0	0.0	0.0	0	0	0	0	24292.5	763.37
mouse1_050.ome.tiff	e5887915-ffe9-4d2c-92c2-b35fa6f53410	Annotation	DCN	Left: DCN	MY-sen	Polygon	4744.2	3822.1	720.0	386.0	0.0	19.7921	97.8723	23.2107	39	10	22	7	193400.2	2039.5
mouse1_050.ome.tiff	9a89c787-d800-4282-9219-783d0e3afbaa	Annotation	ECU	Right: ECU	MY-sen	Polygon	6577.1	3621.3	903.0	386.0	0.0	5.8359	0.0	0.0	0	0	0	0	51784.4	964.53
mouse1_050.ome.tiff	3fdb0d5d-2b2c-4bf7-b3f7-ba36df0478ef	Annotation	CBX	Right: CBX	CB	Geometry	6690.7	3082.5	528.0	512.0	0.0	10.1229	0.0	6.0627	6	4	1	1	2090904.8	10610.1
mouse1_050.ome.tiff	5bce8b72-1cdb-41a6-982c-32a2c6bab4cf	Annotation	lfbs	Left: lfbs	fiber tracts	Polygon	5131.7	5488.4	983.0	1009.0	0.0	13466.1522	1178.3979	193.5175	0	0	0	0	59065.6	1003.8
mouse1_050.ome.tiff	4b2905ef-a100-4307-b294-ff2f5d24fcf4	Annotation	CB	Right: CB	grey	Geometry	6694.7	3083.2	512.0	8.0	0.0	0.0	0.0	0.0	6	4	1	1	2102260.1	9863.5
mouse1_050.ome.tiff	44a7e177-f94c-4678-bccc-004fedaf20e6	Annotation	scp	Left: scp	cbp	Polygon	4127.7	5511.4	326.0	752.0	0.0	11.3188	11.5389	0.0	1	1	0	0	14082.4	766.72
mouse1_050.ome.tiff	df64cbaa-f05a-433f-aa02-b73ea25b2144	Annotation	root	Right: root	Root	Geometry	6625.8	4013.0	997.0		0.0	0.0	0.0	0.0	2889	2612	245	32	6282461.9	12455.5
mouse1_050.ome.tiff	f728ed56-1612-4ad2-9914-f9e77b47085a	Annotation	icp	Left: icp	cbp	Polygon	3719.6	5333.8	1123.0	752.0	0.0	3246.028	49.0105	0.0	0	0	0	0	28095.5	844.14
mouse1_050.ome.tiff	55b3bf71-9c92-40b9-8658-477631100ec0	Annotation	MY-mot	Right: MY-mot	MY	Geometry	6415.1	4635.3	370.0	354.0	0.0	5.8359	0.0	0.0	1896	1729	142	25	1635410.6	10013.4
mouse1_050.ome.tiff	f62652aa-664d-4409-a91e-0f2c01597d25	Annotation	py	Right: py	cst	Polygon	5971.1	5437.8	190.0	784.0	0.0	8.0264	0.0	6.0627	0	0	0	0	59061.7	1022.4
mouse1_050.ome.tiff	bacca49f-ae20-450b-93c5-c489f9789d5f	Annotation	ts	Left: ts	Xn	Polygon	5005.1	3950.1	237.0	917.0	0.0	0.0	19.6476	0.0	0	0	0	0	4470.4	242.08
mouse1_050.ome.tiff	379ab259-e9ec-4532-9007-3f1f10ee367f	Annotation	NR	Right: NR	PHY	Polygon	5877.1	4341.7	177.0	154.0	0.0	36.4495	41.4539	0.0	4	4	0	0	7902.0	498.21
mouse1_050.ome.tiff	1cd583df-c2ac-4a26-bb6e-39b979e81bdc	Annotation	PHY	Left: PHY	MY-mot	Polygon	5173.3	4421.6	154.0	370.0	0.0	202.5448	594.2702	25.7609	151	67	83	1	7200.8	490.85
mouse1_050.ome.tiff	ac5f7e1b-a169-42e5-9176-cfca2dc92638	Annotation	MY-sat	Left: MY-sat	MY	Geometry	5512.0	5154.5	379.0	354.0	0.0	1.3221	4.6078	0.0	7	6	1	0	20552.3	1195.5
mouse1_050.ome.tiff	8b5db672-f668-4e5c-94e2-3bddb737ee34	Annotation	cm	Left: cm	fiber tracts	Geometry	3484.8	4403.5	967.0	1009.0	0.0	524.6388	98.1696	0.0	2	2	0	0	170403.3	5097.6
mouse1_050.ome.tiff	0122ecbf-5c8d-4baf-9a26-d938c0aa5b78	Annotation	RO	Right: RO	MY-sat	Polygon	5546.3	4738.9	222.0	379.0	0.0	0.0	0.0	0.0	3	2	1	0	5875.5	529.99
mouse1_050.ome.tiff	7991d7cd-e13b-4283-b14f-bb8ebdd351dc	Annotation	tsp	Right: tsp	eps	Polygon	5715.1	4859.8	877.0	1000.0	0.0	11.5778	4.6078	9.3484	12	8	4	0	43022.2	980.8
mouse1_050.ome.tiff	5151403f-e0ba-411c-b8e3-0d9a0d3f4bae	Annotation	sctd	Right: sctd	icp	Polygon	7444.4	5061.8	553.0	1123.0	0.0	5.0614	0.0	0.0	0	0	0	0	30185.7	925.94
